survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,alive,alone,Age_Bin,Predicted_Fare,Fare_Group,Age_Normalized,Age_Standardized,Age_Category,Class_1,Class_2,Class_3
0,3,1,22.0,1,0,7.25,2,2,1,1,0,0,"(20.315, 40.21]",29.452740432851666,Low,0.2711736617240513,-0.5696367744572526,Young Adult,False,False,True
1,1,0,38.0,1,0,71.2833,0,0,2,0,1,0,"(20.315, 40.21]",29.836331509578404,High,0.4722292033174164,0.5980854169080396,Adult,True,False,False
1,3,0,26.0,0,0,7.925,2,2,2,0,1,1,"(20.315, 40.21]",29.54863820203335,Low,0.32143754712239253,-0.2777062266159296,Young Adult,False,False,True
1,1,0,35.0,1,0,53.1,2,0,2,0,1,0,"(20.315, 40.21]",29.76440818269214,High,0.43453128926866047,0.3791375060270473,Young Adult,True,False,False
0,3,1,35.0,0,0,8.05,2,2,1,1,0,1,"(20.315, 40.21]",29.76440818269214,Low,0.43453128926866047,0.3791375060270473,Young Adult,False,False,True
0,3,1,29.69869565217391,0,0,8.4583,1,2,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,1,1,54.0,0,0,51.8625,2,0,1,1,0,1,"(40.21, 60.105]",30.219922586305145,High,0.6732847449107816,1.7658076082733318,Adult,True,False,False
0,3,1,2.0,3,1,21.075,2,2,0,0,0,0,"(0.34, 20.315]",28.97325158694324,Medium,0.01985423473234481,-2.029289513663868,Minor,False,False,True
1,3,0,27.0,0,2,11.1333,2,2,2,0,1,0,"(20.315, 40.21]",29.57261264432877,Medium,0.33400351847197784,-0.2047235896555988,Young Adult,False,False,True
1,2,0,14.0,1,0,30.0708,0,1,0,0,1,0,"(0.34, 20.315]",29.260944894488293,High,0.17064589092736868,-1.1534978701398988,Minor,False,True,False
1,3,0,4.0,1,1,16.7,2,2,0,0,1,0,"(0.34, 20.315]",29.021200471534083,Medium,0.04498617743151546,-1.8833242397432064,Minor,False,False,True
1,1,0,58.0,0,0,26.55,2,0,2,0,1,1,"(40.21, 60.105]",30.31582035548683,High,0.7235486303091229,2.057738156114655,Adult,True,False,False
0,3,1,20.0,0,0,8.05,2,2,1,1,0,1,"(0.34, 20.315]",29.40479154826082,Low,0.24604171902488062,-0.7156020483779142,Young Adult,False,False,True
0,3,1,39.0,1,5,31.275,2,2,1,1,0,0,"(20.315, 40.21]",29.860305951873826,High,0.4847951746670017,0.6710680538683703,Adult,False,False,True
0,3,0,14.0,0,0,7.8542,2,2,0,0,0,1,"(0.34, 20.315]",29.260944894488293,Low,0.17064589092736868,-1.1534978701398988,Minor,False,False,True
1,2,0,55.0,0,0,16.0,2,1,2,0,1,1,"(40.21, 60.105]",30.243897028600568,Medium,0.6858507162603669,1.8387902452336626,Adult,False,True,False
0,3,1,2.0,4,1,29.125,1,2,0,0,0,0,"(0.34, 20.315]",28.97325158694324,High,0.01985423473234481,-2.029289513663868,Minor,False,False,True
1,2,1,29.69869565217391,0,0,13.0,2,1,1,1,1,1,"(20.315, 40.21]",29.63731236751472,Medium,0.3679152507184457,-0.0077656646065672455,Young Adult,False,True,False
0,3,0,31.0,1,0,18.0,2,2,2,0,0,0,"(20.315, 40.21]",29.668510413510457,Medium,0.38426740387031916,0.08720695818572426,Young Adult,False,False,True
1,3,0,29.69869565217391,0,0,7.225,0,2,2,0,1,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,2,1,35.0,0,0,26.0,2,1,1,1,0,1,"(20.315, 40.21]",29.76440818269214,Medium,0.43453128926866047,0.3791375060270473,Young Adult,False,True,False
1,2,1,34.0,0,0,13.0,2,1,1,1,1,1,"(20.315, 40.21]",29.74043374039672,Medium,0.42196531791907516,0.3061548690667166,Young Adult,False,True,False
1,3,0,15.0,0,0,8.0292,1,2,0,0,1,1,"(0.34, 20.315]",29.284919336783716,Low,0.18321186227695402,-1.080515233179568,Minor,False,False,True
1,1,1,28.0,0,0,35.5,2,0,1,1,1,1,"(20.315, 40.21]",29.596587086624194,High,0.3465694898215632,-0.13174095269526803,Young Adult,True,False,False
0,3,0,8.0,3,1,21.075,2,2,0,0,0,0,"(0.34, 20.315]",29.117098240715766,Medium,0.09525006282985675,-1.5913936919018834,Minor,False,False,True
1,3,0,38.0,1,5,31.3875,2,2,2,0,1,0,"(20.315, 40.21]",29.836331509578404,High,0.4722292033174164,0.5980854169080396,Adult,False,False,True
0,3,1,29.69869565217391,0,0,7.225,0,2,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,1,1,19.0,3,2,263.0,2,0,1,1,0,0,"(0.34, 20.315]",29.380817105965402,High,0.23347574767529528,-0.7885846853382449,Young Adult,True,False,False
1,3,0,29.69869565217391,0,0,7.8792,1,2,2,0,1,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,1,29.69869565217391,0,0,7.8958,2,2,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,1,1,40.0,0,0,27.7208,0,0,1,1,0,1,"(20.315, 40.21]",29.88428039416925,High,0.4973611460165871,0.7440506908287011,Adult,True,False,False
1,1,0,29.69869565217391,1,0,146.5208,0,0,2,0,1,0,"(20.315, 40.21]",29.63731236751472,High,0.3679152507184457,-0.0077656646065672455,Young Adult,True,False,False
1,3,0,29.69869565217391,0,0,7.75,1,2,2,0,1,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,2,1,66.0,0,0,10.5,2,1,1,1,0,1,"(60.105, 80.0]",30.5076158938502,Medium,0.8240764011058055,2.6415992517973015,Senior,False,True,False
0,1,1,28.0,1,0,82.1708,0,0,1,1,0,0,"(20.315, 40.21]",29.596587086624194,High,0.3465694898215632,-0.13174095269526803,Young Adult,True,False,False
0,1,1,42.0,1,0,52.0,2,0,1,1,0,0,"(40.21, 60.105]",29.93222927876009,High,0.5224930887157577,0.8900159647493626,Adult,True,False,False
1,3,1,29.69869565217391,0,0,7.2292,0,2,1,1,1,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,1,21.0,0,0,8.05,2,2,1,1,0,1,"(20.315, 40.21]",29.428765990556244,Low,0.2586076903744659,-0.6426194114175834,Young Adult,False,False,True
0,3,0,18.0,2,0,18.0,2,2,2,0,0,0,"(0.34, 20.315]",29.35684266366998,Medium,0.22090977632570996,-0.8615673222985757,Minor,False,False,True
1,3,0,14.0,1,0,11.2417,0,2,0,0,1,0,"(0.34, 20.315]",29.260944894488293,Medium,0.17064589092736868,-1.1534978701398988,Minor,False,False,True
0,3,0,40.0,1,0,9.475,2,2,2,0,0,0,"(20.315, 40.21]",29.88428039416925,Medium,0.4973611460165871,0.7440506908287011,Adult,False,False,True
0,2,0,27.0,1,0,21.0,2,1,2,0,0,0,"(20.315, 40.21]",29.57261264432877,Medium,0.33400351847197784,-0.2047235896555988,Young Adult,False,True,False
0,3,1,29.69869565217391,0,0,7.8958,0,2,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
1,2,0,3.0,1,2,41.5792,0,1,0,0,1,0,"(0.34, 20.315]",28.99722602923866,High,0.032420206081930136,-1.9563068767035372,Minor,False,True,False
1,3,0,19.0,0,0,7.8792,1,2,2,0,1,1,"(0.34, 20.315]",29.380817105965402,Low,0.23347574767529528,-0.7885846853382449,Young Adult,False,False,True
0,3,1,29.69869565217391,0,0,8.05,2,2,1,1,0,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,1,29.69869565217391,1,0,15.5,1,2,1,1,0,0,"(20.315, 40.21]",29.63731236751472,Medium,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,1,29.69869565217391,2,0,21.6792,0,2,1,1,0,0,"(20.315, 40.21]",29.63731236751472,Medium,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,0,18.0,1,0,17.8,2,2,2,0,0,0,"(0.34, 20.315]",29.35684266366998,Medium,0.22090977632570996,-0.8615673222985757,Minor,False,False,True
0,3,1,7.0,4,1,39.6875,2,2,0,0,0,0,"(0.34, 20.315]",29.093123798420347,High,0.08268409148027142,-1.6643763288622142,Minor,False,False,True
0,3,1,21.0,0,0,7.8,2,2,1,1,0,1,"(20.315, 40.21]",29.428765990556244,Low,0.2586076903744659,-0.6426194114175834,Young Adult,False,False,True
1,1,0,49.0,1,0,76.7292,0,0,2,0,1,0,"(40.21, 60.105]",30.10005037482804,High,0.610454888162855,1.400894423471678,Adult,True,False,False
1,2,0,29.0,1,0,26.0,2,1,2,0,1,0,"(20.315, 40.21]",29.620561528919612,Medium,0.35913546117114853,-0.058758315734937276,Young Adult,False,True,False
0,1,1,65.0,0,1,61.9792,0,0,1,1,0,0,"(60.105, 80.0]",30.483641451554778,High,0.8115104297562201,2.5686166148369707,Senior,True,False,False
1,1,1,29.69869565217391,0,0,35.5,2,0,1,1,1,1,"(20.315, 40.21]",29.63731236751472,High,0.3679152507184457,-0.0077656646065672455,Young Adult,True,False,False
1,2,0,21.0,0,0,10.5,2,1,2,0,1,1,"(20.315, 40.21]",29.428765990556244,Medium,0.2586076903744659,-0.6426194114175834,Young Adult,False,True,False
0,3,1,28.5,0,0,7.2292,0,2,1,1,0,1,"(20.315, 40.21]",29.608574307771903,Low,0.35285247549635584,-0.09524963421510266,Young Adult,False,False,True
1,2,0,5.0,1,2,27.75,2,1,0,0,1,0,"(0.34, 20.315]",29.045174913829502,High,0.05755214878110078,-1.8103416027828756,Minor,False,True,False
0,3,1,11.0,5,2,46.9,2,2,0,0,0,0,"(0.34, 20.315]",29.18902156760203,High,0.13294797687861273,-1.372445781020891,Minor,False,False,True
0,3,1,22.0,0,0,7.2292,0,2,1,1,0,1,"(20.315, 40.21]",29.452740432851666,Low,0.2711736617240513,-0.5696367744572526,Young Adult,False,False,True
1,1,0,38.0,0,0,80.0,2,0,2,0,1,1,"(20.315, 40.21]",29.836331509578404,High,0.4722292033174164,0.5980854169080396,Adult,True,False,False
0,1,1,45.0,1,0,83.475,2,0,1,1,0,0,"(40.21, 60.105]",30.004152605646354,High,0.5601910027645137,1.108963875630355,Adult,True,False,False
0,3,1,4.0,3,2,27.9,2,2,0,0,0,0,"(0.34, 20.315]",29.021200471534083,High,0.04498617743151546,-1.8833242397432064,Minor,False,False,True
0,1,1,29.69869565217391,0,0,27.7208,0,0,1,1,0,1,"(20.315, 40.21]",29.63731236751472,High,0.3679152507184457,-0.0077656646065672455,Young Adult,True,False,False
1,3,1,29.69869565217391,1,1,15.2458,0,2,1,1,1,0,"(20.315, 40.21]",29.63731236751472,Medium,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
1,2,0,29.0,0,0,10.5,2,1,2,0,1,1,"(20.315, 40.21]",29.620561528919612,Medium,0.35913546117114853,-0.058758315734937276,Young Adult,False,True,False
0,3,1,19.0,0,0,8.1583,2,2,1,1,0,1,"(0.34, 20.315]",29.380817105965402,Low,0.23347574767529528,-0.7885846853382449,Young Adult,False,False,True
1,3,0,17.0,4,2,7.925,2,2,2,0,1,0,"(0.34, 20.315]",29.332868221374557,Low,0.20834380497612465,-0.9345499592589065,Minor,False,False,True
0,3,1,26.0,2,0,8.6625,2,2,1,1,0,0,"(20.315, 40.21]",29.54863820203335,Low,0.32143754712239253,-0.2777062266159296,Young Adult,False,False,True
0,2,1,32.0,0,0,10.5,2,1,1,1,0,1,"(20.315, 40.21]",29.692484855805876,Medium,0.39683337521990447,0.16018959514605502,Young Adult,False,True,False
0,3,0,16.0,5,2,46.9,2,2,2,0,0,0,"(0.34, 20.315]",29.30889377907914,High,0.19577783362653933,-1.0075325962192372,Minor,False,False,True
0,2,1,21.0,0,0,73.5,2,1,1,1,0,1,"(20.315, 40.21]",29.428765990556244,High,0.2586076903744659,-0.6426194114175834,Young Adult,False,True,False
0,3,1,26.0,1,0,14.4542,0,2,1,1,0,0,"(20.315, 40.21]",29.54863820203335,Medium,0.32143754712239253,-0.2777062266159296,Young Adult,False,False,True
1,3,1,32.0,0,0,56.4958,2,2,1,1,1,1,"(20.315, 40.21]",29.692484855805876,High,0.39683337521990447,0.16018959514605502,Young Adult,False,False,True
0,3,1,25.0,0,0,7.65,2,2,1,1,0,1,"(20.315, 40.21]",29.52466375973793,Low,0.3088715757728072,-0.35068886357626033,Young Adult,False,False,True
1,2,1,0.83,0,2,29.0,2,1,0,0,1,0,"(0.34, 20.315]",28.945201489457595,High,0.005152048253329982,-2.114679198907455,Minor,False,True,False
1,3,0,30.0,0,0,12.475,2,2,2,0,1,1,"(20.315, 40.21]",29.644535971215035,Medium,0.37170143252073384,0.014224321225393487,Young Adult,False,False,True
0,3,1,22.0,0,0,9.0,2,2,1,1,0,1,"(20.315, 40.21]",29.452740432851666,Medium,0.2711736617240513,-0.5696367744572526,Young Adult,False,False,True
1,3,1,29.0,0,0,9.5,2,2,1,1,1,1,"(20.315, 40.21]",29.620561528919612,Medium,0.35913546117114853,-0.058758315734937276,Young Adult,False,False,True
1,3,0,29.69869565217391,0,0,7.7875,1,2,2,0,1,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,1,1,28.0,0,0,47.1,2,0,1,1,0,1,"(20.315, 40.21]",29.596587086624194,High,0.3465694898215632,-0.13174095269526803,Young Adult,True,False,False
1,2,0,17.0,0,0,10.5,2,1,2,0,1,1,"(0.34, 20.315]",29.332868221374557,Medium,0.20834380497612465,-0.9345499592589065,Minor,False,True,False
1,3,0,33.0,3,0,15.85,2,2,2,0,1,0,"(20.315, 40.21]",29.7164592981013,Medium,0.4093993465694898,0.23317223210638577,Young Adult,False,False,True
0,3,1,16.0,1,3,34.375,2,2,1,1,0,0,"(0.34, 20.315]",29.30889377907914,High,0.19577783362653933,-1.0075325962192372,Minor,False,False,True
1,1,0,23.0,3,2,263.0,2,0,2,0,1,0,"(20.315, 40.21]",29.476714875147085,High,0.2837396330736366,-0.4966541374969219,Young Adult,True,False,False
0,3,1,24.0,0,0,8.05,2,2,1,1,0,1,"(20.315, 40.21]",29.500689317442507,Low,0.2963056044232219,-0.4236715005365911,Young Adult,False,False,True
0,3,1,29.0,0,0,8.05,2,2,1,1,0,1,"(20.315, 40.21]",29.620561528919612,Low,0.35913546117114853,-0.058758315734937276,Young Adult,False,False,True
0,3,1,20.0,0,0,7.8542,2,2,1,1,0,1,"(0.34, 20.315]",29.40479154826082,Low,0.24604171902488062,-0.7156020483779142,Young Adult,False,False,True
0,1,1,46.0,1,0,61.175,2,0,1,1,0,0,"(40.21, 60.105]",30.028127047941776,High,0.572756974114099,1.1819465125906856,Adult,True,False,False
0,3,1,26.0,1,2,20.575,2,2,1,1,0,0,"(20.315, 40.21]",29.54863820203335,Medium,0.32143754712239253,-0.2777062266159296,Young Adult,False,False,True
0,3,1,59.0,0,0,7.25,2,2,1,1,0,1,"(40.21, 60.105]",30.33979479778225,Low,0.7361146016587082,2.130720793074986,Adult,False,False,True
0,1,1,71.0,0,0,34.6542,0,0,1,1,0,1,"(60.105, 80.0]",30.627488105327306,High,0.8869062578537321,3.006512436598955,Senior,True,False,False
1,1,1,23.0,0,1,63.3583,0,0,1,1,1,0,"(20.315, 40.21]",29.476714875147085,High,0.2837396330736366,-0.4966541374969219,Young Adult,True,False,False
1,2,0,34.0,0,1,23.0,2,1,2,0,1,0,"(20.315, 40.21]",29.74043374039672,Medium,0.42196531791907516,0.3061548690667166,Young Adult,False,True,False
0,2,1,34.0,1,0,26.0,2,1,1,1,0,0,"(20.315, 40.21]",29.74043374039672,Medium,0.42196531791907516,0.3061548690667166,Young Adult,False,True,False
0,3,0,28.0,0,0,7.8958,2,2,2,0,0,1,"(20.315, 40.21]",29.596587086624194,Low,0.3465694898215632,-0.13174095269526803,Young Adult,False,False,True
0,1,1,21.0,0,1,77.2875,2,0,1,1,0,0,"(20.315, 40.21]",29.428765990556244,High,0.2586076903744659,-0.6426194114175834,Young Adult,True,False,False
0,3,1,33.0,0,0,8.6542,2,2,1,1,0,1,"(20.315, 40.21]",29.7164592981013,Low,0.4093993465694898,0.23317223210638577,Young Adult,False,False,True
0,3,1,37.0,2,0,7.925,2,2,1,1,0,0,"(20.315, 40.21]",29.812357067282985,Low,0.4596632319678311,0.5251027799477088,Adult,False,False,True
0,3,1,28.0,0,0,7.8958,2,2,1,1,0,1,"(20.315, 40.21]",29.596587086624194,Low,0.3465694898215632,-0.13174095269526803,Young Adult,False,False,True
1,3,0,21.0,0,0,7.65,2,2,2,0,1,1,"(20.315, 40.21]",29.428765990556244,Low,0.2586076903744659,-0.6426194114175834,Young Adult,False,False,True
1,3,1,29.69869565217391,0,0,7.775,2,2,1,1,1,1,"(20.315, 40.21]",29.63731236751472,Low,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,3,1,38.0,0,0,7.8958,2,2,1,1,0,1,"(20.315, 40.21]",29.836331509578404,Low,0.4722292033174164,0.5980854169080396,Adult,False,False,True
1,3,0,29.69869565217391,1,0,24.15,1,2,2,0,1,0,"(20.315, 40.21]",29.63731236751472,Medium,0.3679152507184457,-0.0077656646065672455,Young Adult,False,False,True
0,1,1,47.0,0,0,52.0,2,0,1,1,0,1,"(40.21, 60.105]",30.052101490237195,High,0.5853229454636844,1.2549291495510164,Adult,True,False,False
0,3,0,14.5,1,0,14.4542,0,2,0,0,0,0,"(0.34, 20.315]",29.272932115636007,Medium,0.17692887660216136,-1.1170065516597334,Minor,False,False,True
0,3,1,22.0,0,0,8.05,2,2,1,1,0,1,"(20.315, 40.21]",29.452740432851666,Low,0.2711736617240513,-0.5696367744572526,Young Adult,False,False,True
0,3,0,20.0,1,0,9.825,2,2,2,0,0,0,"(0.34, 20.315]",29.40479154826082,Medium,0.24604171902488062,-0.7156020483779142,Young Adult,False,False,True
0,3,0,17.0,0,0,14.4583,0,2,2,0,0,1,"(0.34, 20.315]",29.332868221374557,Medium,0.20834380497612465,-0.9345499592589065,Minor,False,False,True
0,3,1,21.0,0,0,7.925,2,2,1,1,0,1,"(20.315, 40.21]",29.428765990556244,Low,0.2586076903744659,-0.6426194114175834,Young Adult,False,False,True
0,3,1,70.5,0,0,7.75,1,2,1,1,0,1,"(60.105, 80.0]",30.615500884179596,Low,0.8806232721789394,2.97002111811879,Senior,False,False,True
0,2,1,29.0,1,0,21.0,2,1,1,1,0,0,"(20.315, 40.21]",29.620561528919612,Medium,0.35913546117114853,-0.058758315734937276,Young Adult,False,True,False
0,1,1,24.0,0,1,247.5208,0,0,1,1,0,0,"(20.315, 40.21]",29.500689317442507,High,0.2963056044232219,-0.4236715005365911,Young Adult,True,False,False
0,3,0,2.0,4,2,31.275,2,2,0,0,0,0,"(0.34, 20.315]",28.97325158694324,High,0.01985423473234481,-2.029289513663868,Minor,False,False,True
